"customer_id","current_age","gender","numeric_yearly_income","numeric_total_debt","credit_score","dti_ratio","generational_segment","credit_score_bucket"
1981,48,Male,39303.00,23650.00,702,722.08,Gen X,Medium Risk (600-740)
870,63,Female,71593.00,132181.00,821,2215.54,Boomers+,Low Risk (>740)
16,75,Male,22158.00,19101.00,681,1034.44,Boomers+,Medium Risk (600-740)
46,62,Male,53996.00,98211.00,632,2182.63,Boomers+,Medium Risk (600-740)
800,28,Female,26025.00,23971.00,723,1105.29,Gen Z,Medium Risk (600-740)
1968,25,Female,63816.00,100128.00,775,1882.81,Gen Z,Low Risk (>740)
697,56,Female,66230.00,90248.00,742,1635.17,Gen X,Low Risk (>740)
1269,56,Male,36335.00,28929.00,676,955.41,Gen X,Medium Risk (600-740)
1782,59,Female,39633.00,58586.00,777,1773.86,Gen X,Low Risk (>740)
1977,43,Female,57185.00,0.00,773,0.00,Millennials,Low Risk (>740)
1734,37,Male,82637.00,84762.00,739,1230.86,Millennials,Medium Risk (600-740)
1913,60,Female,31121.00,32768.00,619,1263.51,Gen X,Medium Risk (600-740)
858,47,Male,30774.00,51428.00,700,2005.38,Gen X,Medium Risk (600-740)
606,48,Male,33236.00,57549.00,747,2077.83,Gen X,Low Risk (>740)
1564,35,Male,37947.00,49951.00,683,1579.60,Millennials,Medium Risk (600-740)
1109,24,Male,43875.00,128146.00,639,3504.85,Gen Z,Medium Risk (600-740)
1301,26,Female,61850.00,81158.00,728,1574.61,Gen Z,Medium Risk (600-740)
1399,28,Male,40314.00,131348.00,707,3909.75,Gen Z,Medium Risk (600-740)
1775,26,Male,37968.00,55982.00,788,1769.34,Gen Z,Low Risk (>740)
1673,41,Male,34954.00,45456.00,772,1560.54,Millennials,Low Risk (>740)
1957,40,Male,95945.00,222735.00,772,2785.78,Millennials,Low Risk (>740)
1033,18,Female,33844.00,42109.00,684,1493.05,Gen Z,Medium Risk (600-740)
1024,66,Male,65573.00,143069.00,739,2618.19,Boomers+,Medium Risk (600-740)
1441,40,Male,48609.00,43520.00,737,1074.37,Millennials,Medium Risk (600-740)
1103,45,Female,25723.00,34007.00,746,1586.46,Millennials,Low Risk (>740)
431,19,Female,51984.00,79152.00,691,1827.15,Gen Z,Medium Risk (600-740)
165,34,Male,107683.00,225017.00,694,2507.55,Millennials,Medium Risk (600-740)
353,24,Female,32847.00,33514.00,721,1224.37,Gen Z,Medium Risk (600-740)
1758,57,Male,22556.00,43260.00,645,2301.47,Gen X,Medium Risk (600-740)
1266,35,Female,46063.00,106528.00,618,2775.19,Millennials,Medium Risk (600-740)
1943,19,Female,95348.00,71972.00,706,905.80,Gen Z,Medium Risk (600-740)
792,28,Female,45180.00,13168.00,698,349.75,Gen Z,Medium Risk (600-740)
1055,37,Male,30865.00,55079.00,594,2141.42,Millennials,High Risk (<600)
1159,20,Male,41543.00,49021.00,732,1416.01,Gen Z,Medium Risk (600-740)
1115,53,Male,30198.00,40950.00,693,1627.26,Gen X,Medium Risk (600-740)
38,45,Female,40006.00,72794.00,621,2183.49,Millennials,Medium Risk (600-740)
1027,53,Male,61646.00,0.00,693,0.00,Gen X,Medium Risk (600-740)
11,39,Female,67643.00,0.00,714,0.00,Millennials,Medium Risk (600-740)
871,86,Female,22650.00,0.00,690,0.00,Boomers+,Medium Risk (600-740)
746,63,Male,30288.00,42745.00,689,1693.54,Boomers+,Medium Risk (600-740)
1520,67,Male,47213.00,1082.00,789,27.50,Boomers+,Low Risk (>740)
1372,76,Female,28215.00,18116.00,697,770.48,Boomers+,Medium Risk (600-740)
1799,32,Male,105515.00,192458.00,646,2188.78,Millennials,Medium Risk (600-740)
1905,36,Male,28489.00,6087.00,808,256.39,Millennials,Low Risk (>740)
130,63,Female,81048.00,156195.00,781,2312.63,Boomers+,Low Risk (>740)
1990,19,Female,47263.00,74853.00,726,1900.51,Gen Z,Medium Risk (600-740)
593,19,Male,33816.00,77770.00,635,2759.76,Gen Z,Medium Risk (600-740)
540,25,Female,32160.00,62803.00,634,2343.40,Gen Z,Medium Risk (600-740)
1155,83,Female,29494.00,1196.00,689,48.66,Boomers+,Medium Risk (600-740)
663,68,Female,70554.00,39078.00,655,664.65,Boomers+,Medium Risk (600-740)
1987,63,Male,33686.00,24997.00,488,890.47,Boomers+,High Risk (<600)
1484,92,Female,57732.00,2261.00,726,47.00,Boomers+,Medium Risk (600-740)
417,21,Male,21879.00,69638.00,762,3819.44,Gen Z,Low Risk (>740)
298,28,Male,51041.00,106989.00,686,2515.37,Gen Z,Medium Risk (600-740)
306,18,Male,70380.00,106797.00,725,1820.92,Gen Z,Medium Risk (600-740)
607,25,Male,42617.00,67590.00,771,1903.18,Gen Z,Low Risk (>740)
1769,75,Male,46031.00,8332.00,661,217.21,Boomers+,Medium Risk (600-740)
698,55,Female,65094.00,23909.00,699,440.76,Gen X,Medium Risk (600-740)
896,27,Female,37268.00,50388.00,626,1622.45,Gen Z,Medium Risk (600-740)
1975,53,Female,38972.00,44098.00,738,1357.84,Gen X,Medium Risk (600-740)
645,63,Female,26661.00,42667.00,750,1920.42,Boomers+,Low Risk (>740)
227,48,Male,82295.00,1555.00,736,22.67,Gen X,Medium Risk (600-740)
84,47,Male,25748.00,41455.00,738,1932.03,Gen X,Medium Risk (600-740)
1684,56,Male,27861.00,108313.00,782,4665.14,Gen X,Low Risk (>740)
745,18,Male,48561.00,0.00,752,0.00,Gen Z,Low Risk (>740)
1508,66,Female,38999.00,64875.00,747,1996.21,Boomers+,Low Risk (>740)
1158,62,Male,33112.00,56040.00,716,2030.93,Boomers+,Medium Risk (600-740)
1427,34,Female,100880.00,210445.00,770,2503.31,Millennials,Low Risk (>740)
352,22,Male,37058.00,50548.00,680,1636.83,Gen Z,Medium Risk (600-740)
1948,24,Male,47234.00,89154.00,685,2265.00,Gen Z,Medium Risk (600-740)
724,45,Female,35142.00,107898.00,731,3684.41,Millennials,Medium Risk (600-740)
543,43,Female,30721.00,49961.00,749,1951.54,Millennials,Low Risk (>740)
1559,56,Female,58846.00,126806.00,746,2585.85,Gen X,Low Risk (>740)
1199,29,Male,39069.00,63884.00,720,1962.19,Gen Z,Medium Risk (600-740)
1745,20,Female,49449.00,30723.00,728,745.57,Gen Z,Medium Risk (600-740)
1950,39,Female,22312.00,39445.00,720,2121.46,Millennials,Medium Risk (600-740)
1397,32,Male,36388.00,92949.00,710,3065.26,Millennials,Medium Risk (600-740)
873,52,Female,45037.00,31792.00,710,847.09,Gen X,Medium Risk (600-740)
1728,47,Female,38615.00,74337.00,601,2310.10,Gen X,Medium Risk (600-740)
299,40,Male,28229.00,55675.00,622,2366.72,Millennials,Medium Risk (600-740)
1742,58,Female,50232.00,1218.00,751,29.10,Gen X,Low Risk (>740)
1004,59,Male,34350.00,61639.00,705,2153.33,Gen X,Medium Risk (600-740)
301,47,Male,52308.00,135319.00,679,3104.36,Gen X,Medium Risk (600-740)
1011,27,Female,32061.00,58904.00,676,2204.70,Gen Z,Medium Risk (600-740)
906,75,Male,21154.00,5764.00,705,326.97,Boomers+,Medium Risk (600-740)
110,52,Female,52186.00,42852.00,737,985.37,Gen X,Medium Risk (600-740)
1073,43,Female,35264.00,70328.00,770,2393.19,Millennials,Low Risk (>740)
705,84,Female,79870.00,4031.00,609,60.56,Boomers+,Medium Risk (600-740)
820,70,Female,41902.00,29713.00,633,850.93,Boomers+,Medium Risk (600-740)
1188,24,Female,63969.00,128412.00,626,2408.89,Gen Z,Medium Risk (600-740)
1128,47,Male,34606.00,23909.00,680,829.07,Gen X,Medium Risk (600-740)
1479,32,Male,26631.00,33950.00,805,1529.80,Millennials,Low Risk (>740)
1594,39,Male,35978.00,49366.00,643,1646.54,Millennials,Medium Risk (600-740)
1485,64,Male,49756.00,89743.00,618,2164.39,Boomers+,Medium Risk (600-740)
1390,37,Male,60897.00,85771.00,850,1690.15,Millennials,Low Risk (>740)
644,58,Female,41963.00,53857.00,741,1540.13,Gen X,Low Risk (>740)
1912,37,Female,44976.00,134335.00,684,3584.18,Millennials,Medium Risk (600-740)
1584,27,Male,46733.00,34333.00,692,881.60,Gen Z,Medium Risk (600-740)
1803,26,Female,47160.00,64193.00,578,1633.41,Gen Z,High Risk (<600)
1824,23,Male,50433.00,97029.00,838,2308.70,Gen Z,Low Risk (>740)
340,20,Male,51713.00,86165.00,809,1999.46,Gen Z,Low Risk (>740)
650,45,Male,24215.00,28552.00,707,1414.92,Millennials,Medium Risk (600-740)
762,49,Male,37298.00,52134.00,683,1677.32,Gen X,Medium Risk (600-740)
1061,25,Male,40457.00,68826.00,739,2041.46,Gen Z,Medium Risk (600-740)
1931,58,Male,82974.00,181429.00,503,2623.89,Gen X,High Risk (<600)
702,46,Female,71103.00,136853.00,721,2309.66,Gen X,Medium Risk (600-740)
918,43,Female,29194.00,10895.00,703,447.83,Millennials,Medium Risk (600-740)
1137,52,Male,33465.00,98713.00,669,3539.69,Gen X,Medium Risk (600-740)
66,20,Female,31314.00,40331.00,721,1545.55,Gen Z,Medium Risk (600-740)
1406,36,Male,23718.00,1386.00,712,70.12,Millennials,Medium Risk (600-740)
437,46,Female,72670.00,28915.00,718,477.47,Gen X,Medium Risk (600-740)
806,24,Female,77972.00,6128.00,686,94.31,Gen Z,Medium Risk (600-740)
891,38,Female,34854.00,40722.00,746,1402.03,Millennials,Low Risk (>740)
1191,25,Female,36902.00,60538.00,711,1968.61,Gen Z,Medium Risk (600-740)
701,28,Female,53984.00,76118.00,701,1692.01,Gen Z,Medium Risk (600-740)
1147,80,Male,104692.00,6955.00,704,79.72,Boomers+,Medium Risk (600-740)
1625,24,Female,101191.00,290730.00,659,3447.70,Gen Z,Medium Risk (600-740)
1664,38,Male,69566.00,50003.00,791,862.54,Millennials,Low Risk (>740)
1273,21,Male,49382.00,43126.00,762,1047.98,Gen Z,Low Risk (>740)
1009,41,Female,28733.00,0.00,702,0.00,Millennials,Medium Risk (600-740)
1341,87,Male,30349.00,2985.00,686,118.03,Boomers+,Medium Risk (600-740)
925,31,Male,58538.00,93153.00,610,1909.59,Millennials,Medium Risk (600-740)
824,32,Female,36901.00,23293.00,695,757.48,Millennials,Medium Risk (600-740)
563,70,Male,49531.00,6707.00,737,162.49,Boomers+,Medium Risk (600-740)
1612,68,Male,35370.00,14777.00,562,501.34,Boomers+,High Risk (<600)
1700,45,Female,38666.00,116783.00,822,3624.36,Millennials,Low Risk (>740)
963,24,Female,41714.00,54541.00,687,1569.00,Gen Z,Medium Risk (600-740)
904,32,Male,24505.00,52405.00,759,2566.25,Millennials,Low Risk (>740)
1586,43,Male,56640.00,104134.00,672,2206.23,Millennials,Medium Risk (600-740)
1286,53,Female,61578.00,85383.00,602,1663.90,Gen X,Medium Risk (600-740)
719,53,Female,50139.00,109623.00,767,2623.66,Gen X,Low Risk (>740)
1469,21,Male,34646.00,54205.00,759,1877.45,Gen Z,Low Risk (>740)
930,22,Male,25024.00,29227.00,691,1401.55,Gen Z,Medium Risk (600-740)
1814,41,Female,32856.00,26535.00,703,969.14,Millennials,Medium Risk (600-740)
1723,41,Female,36080.00,80443.00,839,2675.49,Millennials,Low Risk (>740)
1377,32,Female,29637.00,56446.00,569,2285.49,Millennials,High Risk (<600)
470,56,Male,28553.00,94214.00,747,3959.54,Gen X,Low Risk (>740)
1804,18,Male,43499.00,108468.00,701,2992.29,Gen Z,Medium Risk (600-740)
229,35,Female,59248.00,173887.00,725,3521.88,Millennials,Medium Risk (600-740)
1512,44,Male,67008.00,81402.00,778,1457.77,Millennials,Low Risk (>740)
1543,31,Female,105963.00,106266.00,684,1203.43,Millennials,Medium Risk (600-740)
147,30,Male,56383.00,130152.00,800,2770.03,Millennials,Low Risk (>740)
1941,38,Male,38609.00,27463.00,740,853.57,Millennials,Medium Risk (600-740)
901,48,Male,36671.00,39882.00,850,1305.07,Gen X,Low Risk (>740)
191,28,Male,39860.00,112825.00,728,3396.64,Gen Z,Medium Risk (600-740)
12,18,Female,37785.00,58187.00,748,1847.94,Gen Z,Low Risk (>740)
1828,50,Male,2466.00,5521.00,711,2686.62,Gen X,Medium Risk (600-740)
29,68,Female,27358.00,13557.00,665,594.65,Boomers+,Medium Risk (600-740)
181,26,Female,51024.00,181184.00,602,4261.15,Gen Z,Medium Risk (600-740)
995,40,Female,101679.00,307856.00,592,3633.27,Millennials,High Risk (<600)
1218,20,Male,27801.00,0.00,754,0.00,Gen Z,Low Risk (>740)
186,61,Female,38536.00,72299.00,705,2251.37,Boomers+,Medium Risk (600-740)
171,43,Female,49577.00,142314.00,694,3444.68,Millennials,Medium Risk (600-740)
1401,24,Male,36672.00,49660.00,739,1625.00,Gen Z,Medium Risk (600-740)
1314,43,Male,39404.00,71859.00,723,2188.38,Millennials,Medium Risk (600-740)
1560,61,Female,18452.00,16827.00,741,1094.32,Boomers+,Low Risk (>740)
613,39,Female,56562.00,111495.00,712,2365.44,Millennials,Medium Risk (600-740)
346,90,Female,48580.00,1785.00,687,44.09,Boomers+,Medium Risk (600-740)
812,41,Female,41469.00,119423.00,659,3455.78,Millennials,Medium Risk (600-740)
13,52,Female,32378.00,65919.00,588,2443.10,Gen X,High Risk (<600)
602,57,Male,34437.00,0.00,681,0.00,Gen X,Medium Risk (600-740)
657,83,Female,33897.00,533.00,705,18.87,Boomers+,Medium Risk (600-740)
909,38,Male,49023.00,66148.00,583,1619.19,Millennials,High Risk (<600)
183,24,Female,38609.00,39867.00,798,1239.10,Gen Z,Low Risk (>740)
1792,18,Female,30712.00,38054.00,723,1486.87,Gen Z,Medium Risk (600-740)
1599,22,Male,32645.00,59851.00,790,2200.07,Gen Z,Low Risk (>740)
1267,81,Female,31912.00,2182.00,630,82.05,Boomers+,Medium Risk (600-740)
411,30,Male,37521.00,65701.00,775,2101.26,Millennials,Low Risk (>740)
350,62,Female,58463.00,141151.00,737,2897.24,Boomers+,Medium Risk (600-740)
1323,36,Female,31414.00,42233.00,719,1613.28,Millennials,Medium Risk (600-740)
934,32,Female,41106.00,106963.00,762,3122.55,Millennials,Low Risk (>740)
421,53,Female,45876.00,58252.00,790,1523.72,Gen X,Low Risk (>740)
223,37,Female,58637.00,87340.00,803,1787.40,Millennials,Low Risk (>740)
1402,35,Male,96574.00,265319.00,590,3296.78,Millennials,High Risk (<600)
1650,18,Male,44128.00,142368.00,687,3871.50,Gen Z,Medium Risk (600-740)
354,77,Female,31942.00,11845.00,713,444.99,Boomers+,Medium Risk (600-740)
314,27,Male,57927.00,87736.00,557,1817.52,Gen Z,High Risk (<600)
1457,20,Male,45725.00,102164.00,688,2681.18,Gen Z,Medium Risk (600-740)
1613,39,Male,44134.00,0.00,792,0.00,Millennials,Low Risk (>740)
945,19,Male,56579.00,79726.00,705,1690.93,Gen Z,Medium Risk (600-740)
586,37,Male,46864.00,58954.00,751,1509.58,Millennials,Low Risk (>740)
119,44,Female,56605.00,87970.00,624,1864.92,Millennials,Medium Risk (600-740)
1312,31,Female,51209.00,76900.00,765,1802.03,Millennials,Low Risk (>740)
1529,51,Male,76305.00,112785.00,692,1773.70,Gen X,Medium Risk (600-740)
326,18,Male,61325.00,83899.00,652,1641.73,Gen Z,Medium Risk (600-740)
1596,42,Male,31772.00,17286.00,734,652.88,Millennials,Medium Risk (600-740)
714,61,Female,73383.00,155191.00,760,2537.77,Boomers+,Low Risk (>740)
887,55,Male,53287.00,51026.00,816,1149.08,Gen X,Low Risk (>740)
1425,88,Female,19225.00,1644.00,809,102.62,Boomers+,Low Risk (>740)
1645,62,Female,60541.00,160456.00,716,3180.44,Boomers+,Medium Risk (600-740)
1863,44,Female,44124.00,107162.00,850,2914.39,Millennials,Low Risk (>740)
1576,88,Female,36764.00,839.00,712,27.39,Boomers+,Medium Risk (600-740)
1268,47,Male,29597.00,44388.00,513,1799.70,Gen X,High Risk (<600)
1565,37,Female,38656.00,47523.00,584,1475.26,Millennials,High Risk (<600)
1842,45,Male,31373.00,58481.00,637,2236.87,Millennials,Medium Risk (600-740)
664,22,Female,33681.00,78326.00,697,2790.63,Gen Z,Medium Risk (600-740)
485,39,Male,38211.00,84427.00,665,2651.39,Millennials,Medium Risk (600-740)
244,40,Female,26802.00,43444.00,638,1945.11,Millennials,Medium Risk (600-740)
145,58,Female,25334.00,182.00,696,8.62,Gen X,Medium Risk (600-740)
866,34,Male,61904.00,125358.00,639,2430.05,Millennials,Medium Risk (600-740)
1424,101,Female,15348.00,1396.00,761,109.15,Boomers+,Low Risk (>740)
427,44,Female,32527.00,74331.00,705,2742.25,Millennials,Medium Risk (600-740)
684,51,Male,44170.00,90049.00,661,2446.43,Gen X,Medium Risk (600-740)
1643,28,Female,46077.00,101450.00,686,2642.10,Gen Z,Medium Risk (600-740)
1300,58,Male,23092.00,20545.00,752,1067.64,Gen X,Low Risk (>740)
283,19,Male,30710.00,30956.00,680,1209.61,Gen Z,Medium Risk (600-740)
355,22,Female,40491.00,81879.00,691,2426.58,Gen Z,Medium Risk (600-740)
1669,44,Male,51454.00,151162.00,698,3525.37,Millennials,Medium Risk (600-740)
937,47,Female,94133.00,189899.00,603,2420.82,Gen X,Medium Risk (600-740)
845,58,Male,36710.00,116794.00,786,3817.84,Gen X,Low Risk (>740)
1518,62,Male,37785.00,81500.00,745,2588.33,Boomers+,Low Risk (>740)
1591,58,Female,33717.00,58236.00,698,2072.64,Gen X,Medium Risk (600-740)
1172,50,Male,29994.00,100834.00,769,4034.17,Gen X,Low Risk (>740)
1629,42,Female,29422.00,58679.00,598,2393.27,Millennials,High Risk (<600)
675,40,Male,35489.00,91995.00,724,3110.65,Millennials,Medium Risk (600-740)
577,28,Female,33106.00,108695.00,763,3939.89,Gen Z,Low Risk (>740)
854,26,Female,59699.00,71110.00,688,1429.37,Gen Z,Medium Risk (600-740)
1261,58,Male,68787.00,171854.00,527,2998.02,Gen X,High Risk (<600)
1227,65,Female,67344.00,7049.00,804,125.61,Boomers+,Low Risk (>740)
840,68,Female,88432.00,63075.00,694,855.91,Boomers+,Medium Risk (600-740)
733,36,Male,53138.00,153374.00,606,3463.60,Millennials,Medium Risk (600-740)
454,88,Female,38523.00,49.00,751,1.53,Boomers+,Low Risk (>740)
961,76,Male,26660.00,28332.00,721,1275.26,Boomers+,Medium Risk (600-740)
768,53,Female,69412.00,177225.00,620,3063.88,Gen X,Medium Risk (600-740)
817,26,Male,65888.00,162364.00,803,2957.09,Gen Z,Low Risk (>740)
78,37,Male,25205.00,65179.00,688,3103.15,Millennials,Medium Risk (600-740)
1334,38,Female,39627.00,47793.00,718,1447.29,Millennials,Medium Risk (600-740)
1610,42,Female,27967.00,50159.00,690,2152.21,Millennials,Medium Risk (600-740)
108,50,Female,38142.00,0.00,768,0.00,Gen X,Low Risk (>740)
1308,36,Female,58964.00,71890.00,619,1463.06,Millennials,Medium Risk (600-740)
780,74,Male,58378.00,73124.00,652,1503.11,Boomers+,Medium Risk (600-740)
1340,53,Male,53872.00,64269.00,691,1431.59,Gen X,Medium Risk (600-740)
1888,75,Female,41513.00,15899.00,748,459.59,Boomers+,Low Risk (>740)
247,49,Female,54587.00,69070.00,761,1518.38,Gen X,Low Risk (>740)
238,22,Male,41595.00,54451.00,675,1570.89,Gen Z,Medium Risk (600-740)
915,44,Male,44953.00,97076.00,728,2591.40,Millennials,Medium Risk (600-740)
1927,28,Male,35199.00,68569.00,739,2337.65,Gen Z,Medium Risk (600-740)
1658,28,Female,28324.00,62363.00,695,2642.13,Gen Z,Medium Risk (600-740)
1208,38,Male,33387.00,69066.00,526,2482.38,Millennials,High Risk (<600)
